COUNTY,NAME,TOTAL,75 AND UP,GEOID
0500000US35001,"Bernalillo County, New Mexico",546413,43095,35001
0500000US35003,"Catron County, New Mexico",3227,733,35003
0500000US35005,"Chaves County, New Mexico",49944,4142,35005
0500000US35006,"Cibola County, New Mexico",21529,1698,35006
0500000US35007,"Colfax County, New Mexico",10459,1351,35007
0500000US35009,"Curry County, New Mexico",37136,2597,35009
0500000US35011,"De Baca County, New Mexico",1209,127,35011
0500000US35013,"Doña Ana County, New Mexico",170943,14246,35013
0500000US35015,"Eddy County, New Mexico",46630,3628,35015
0500000US35017,"Grant County, New Mexico",23388,3235,35017
0500000US35019,"Guadalupe County, New Mexico",3643,396,35019
0500000US35021,"Harding County, New Mexico",468,49,35021
0500000US35023,"Hidalgo County, New Mexico",3326,383,35023
0500000US35025,"Lea County, New Mexico",53156,3144,35025
0500000US35027,"Lincoln County, New Mexico",17007,2343,35027
0500000US35028,"Los Alamos County, New Mexico",15546,1414,35028
0500000US35029,"Luna County, New Mexico",19200,2340,35029
0500000US35031,"McKinley County, New Mexico",54692,3459,35031
0500000US35033,"Mora County, New Mexico",3795,429,35033
0500000US35035,"Otero County, New Mexico",53609,4848,35035
0500000US35037,"Quay County, New Mexico",6876,823,35037
0500000US35039,"Rio Arriba County, New Mexico",32248,3136,35039
0500000US35041,"Roosevelt County, New Mexico",14970,1153,35041
0500000US35043,"Sandoval County, New Mexico",117441,9576,35043
0500000US35045,"San Juan County, New Mexico",94424,7215,35045
0500000US35047,"San Miguel County, New Mexico",23248,2346,35047
0500000US35049,"Santa Fe County, New Mexico",129914,13610,35049
0500000US35051,"Sierra County, New Mexico",9819,1753,35051
0500000US35053,"Socorro County, New Mexico",13170,1233,35053
0500000US35055,"Taos County, New Mexico",29016,3486,35055
0500000US35057,"Torrance County, New Mexico",12418,1109,35057
0500000US35059,"Union County, New Mexico",3342,376,35059
0500000US35061,"Valencia County, New Mexico",60362,5186,35061
